,playerID,yearID,stint,Glf,Gcf,Grf
6822,stellbi02,1916,1.0,15.0,1.0,1.0
6823,stengca01,1916,1.0,1.0,1.0,121.0
6824,strunam01,1916,1.0,7.0,119.0,19.0
6825,thompsh01,1916,1.0,2.0,7.0,2.0
6826,thrasbu01,1916,1.0,1.0,1.0,8.0
6827,tobinja01,1916,1.0,1.0,7.0,36.0
6828,twombge01,1916,1.0,2.0,1.0,1.0
6829,veachbo01,1916,1.0,150.0,1.0,1.0
6830,walketi01,1916,1.0,4.0,125.0,1.0
6831,walshji02,1916,1.0,1.0,7.0,107.0
6832,walshji02,1916,26.0,2.0,4.0,3.0
6833,weisebu01,1916,1.0,5.0,1.0,1.0
6834,wheatza01,1916,1.0,149.0,2.0,1.0
6835,whittpo01,1916,1.0,136.0,1.0,1.0
6836,wilhojo01,1916,1.0,2.0,2.0,106.0
6837,willicy01,1916,1.0,1.0,115.0,2.0
6838,willike01,1916,1.0,9.0,2.0,1.0
6839,wilsoch01,1916,1.0,1.0,59.0,62.0
6840,zeidero01,1916,1.0,7.0,1.0,2.0
6841,zwilldu01,1916,1.0,1.0,6.0,5.0
6842,allismi01,1917,1.0,5.0,6.0,3.0
6843,altenje01,1917,1.0,2.0,1.0,4.0
6844,aragoan01,1917,1.0,5.0,3.0,1.0
6845,bailefr01,1917,1.0,10.0,16.0,5.0
6846,bailege01,1917,1.0,5.0,1.0,1.0
6847,bairddo01,1917,26.0,1.0,3.0,1.0
6848,bancrda01,1917,1.0,3.0,1.0,1.0
6849,barbetu01,1917,1.0,2.0,7.0,1.0
6850,baumapa01,1917,1.0,5.0,2.0,3.0
6851,beschbo01,1917,1.0,28.0,5.0,1.0
6852,betzebr01,1917,1.0,13.0,2.0,10.0
6853,bigbeca01,1917,1.0,85.0,6.0,18.0
6854,bodiepi01,1917,1.0,145.0,1.0,1.0
6855,bolanbe01,1917,1.0,1.0,1.0,2.0
6856,burnsge01,1917,1.0,152.0,1.0,1.0
6857,caldwra02,1917,1.0,1.0,6.0,4.0
6858,campho01,1917,1.0,1.0,5.0,2.0
6859,careyma01,1917,1.0,1.0,153.0,1.0
6860,chappla01,1917,1.0,1.0,2.0,1.0
6861,cobbty01,1917,1.0,1.0,123.0,30.0
6862,collish01,1917,1.0,10.0,1.0,65.0
6863,collizi01,1917,1.0,2.0,1.0,5.0
6864,coopecl01,1917,1.0,10.0,4.0,3.0
6865,coopewi01,1917,1.0,1.0,1.0,2.0
6866,covelst01,1917,1.0,1.0,1.0,2.0
6867,cravaga01,1917,1.0,1.0,1.0,139.0
6868,crawfsa01,1917,1.0,1.0,1.0,4.0
6869,cruiswa01,1917,1.0,50.0,85.0,27.0
